row_names;Nb_proveNAnce;POP_RDA;Latitude;Longitude;Elevation;mean_Mean_Tmean_40;mean_Total_Precipitation_40;mean_Frost_Days_40;mean_DryDay_40;SMImean_summer_40;SMImean_autumn_40;SMImean_spring_40;mean_WetDay;mean_Mean_TMin;Group_provenance
25;25;POP_25;45.9333000000002;-72.4832999999999;61;6.48064516129032;1092.84516129032;148.838709677419;203.903225806452;95.4273161290323;92.4942365591398;99.0013913978495;161.354838709677;1.63225806451613;1
26;26;POP_26;46.75;-72.7667000000001;152;3.94193548387097;1030.65806451613;180.870967741935;223.645161290323;93.0282677419355;92.9392698924731;98.8375806451613;141.612903225806;-1.74516129032258;1
27;27;POP_27;47.4832999999999;-69.9667000000006;30;4.34516129032258;839.545161290323;166.838709677419;221.967741935484;93.069788172043;91.2857322580646;98.914840860215;143.290322580645;-0.341935483870968;1
28;28;POP_28;48.6333;-68.1667000000005;61;3.7;900.422580645161;168.838709677419;196.032258064516;95.5775193548387;94.3606774193548;99.4111924731183;169.225806451613;-0.329032258064516;1
29;29;POP_29;49.1667;-66.75;30;3.09032258064516;834.645161290323;173.129032258065;198.032258064516;97.3320096774194;96.045411827957;99.5023860215053;167.225806451613;-0.751612903225807;0
30;30;POP_30;48.1167;-66.1166999999997;61;3.79354838709678;1041.37419354839;174.806451612903;203.967741935484;96.8400698924731;95.8754666666667;99.3169290322581;161.290322580645;-0.767741935483871;0
31;31;POP_31;48.2832999999996;-67.5499999999996;244;2.29032258064516;947.832258064516;190.451612903226;216.451612903226;93.2847279569892;95.832459139785;98.9535956989247;148.806451612903;-3.12258064516129;1
32;32;POP_32;47.8667;-69.8833000000004;213;3.17096774193548;901.41935483871;178.193548387097;215.129032258065;95.423723655914;94.5829344086022;99.2015731182796;150.129032258065;-1.44516129032258;1
33;33;POP_33;48.7667000000001;-71.2999999999995;335;1.43548387096774;887.035483870968;206.741935483871;234.58064516129;92.8076526881721;93.4310978494624;98.8347451612904;130.677419354839;-4.75161290322581;1
34;34;POP_34;48.8333;-72.8332999999995;244;3.20645161290323;789.167741935484;185.612903225806;235.612903225806;89.0740258064516;87.6495774193548;98.2462774193548;129.645161290323;-2.58709677419355;1
35;35;POP_35;46.9500000000003;-71.5;152;3.5741935483871;1240.84838709677;184.064516129032;217.935483870968;94.5149225806452;94.5639795698925;99.2621967741935;147.322580645161;-2.25806451612903;1
36;36;POP_36;47.4333500000005;-71.2332999999999;762.5;0.470967741935484;1322.15483870968;221.322580645161;219.41935483871;96.9900612903226;97.7589677419355;99.5540860215054;145.838709677419;-5.27741935483871;0
37;37;POP_37;47.4333500000005;-71.2332999999999;213;-0.290322580645161;1242.58709677419;231.290322580645;215.548387096774;97.1146322580645;98.0877806451613;99.5452161290323;149.709677419355;-6.29354838709677;0
38;38;POP_38;46.1332999999999;-70.8166999999996;305;4.6;1081.81290322581;176.870967741935;224.032258064516;95.3954860215054;91.5017720430107;98.7459537634409;141.225806451613;-1.10322580645161;1
39;39;POP_39;45.9333000000002;-71.1166999999996;91;4.42258064516129;1167.91290322581;176.935483870968;208.709677419355;96.3538322580645;94.5995053763441;99.0904537634409;156.548387096774;-1.04516129032258;0
40;40;POP_40;46.6833000000003;-71.4333000000004;183;4.6258064516129;1151.91290322581;168.258064516129;206.741935483871;94.8831967741936;94.6073290322581;99.2183956989247;158.516129032258;-0.416129032258065;1
41;41;POP_41;46.3333000000001;-73.4333000000004;396;4.52258064516129;1128.13225806452;177.129032258065;218.032258064516;93.772940860215;94.9942870967741;98.7411333333333;147.225806451613;-1.27096774193548;1
42;42;POP_42;46.3667000000001;-73.7167000000006;244;3.12903225806452;1142.17741935484;198.548387096774;223.806451612903;95.1492870967742;96.6150161290323;98.841564516129;141.451612903226;-3.25483870967742;1
43;43;POP_43;45.5;-72.2667000000001;;5.59677419354839;1191.46451612903;162.354838709677;209.709677419355;95.3798795698925;93.1656172043011;98.942011827957;155.548387096774;0.312903225806452;1
