row_names;Corrected_provenance;area;Resist_2_years_2002;Recovery_2_years_2002;Resilience_2_years_2002;Rel.resil_2_years_2002;Resist_mean_3_drought;Recovery_mean_3_drought;Resilience_mean_3_drought;Rel.resil_mean_3_drought;avg_density;avg_double_cell_wall_thickness;lumen_diameter_radial;avg_lumen_diameter;CWR_radial_fois_100;avg_CWR_100;coef_BAI_july_GAMM;coef_wood_density_GAMM;coef_lumen_radial_diameter_GAMM;coef_CWRr_GAMM;coef_BAI_august_GAMM;coef_BAI_sep_GAMM;;coef_BAI_july_dplR;coef_CWRr_dplR;coef_lumen_radial_diameter_dplR;coef_wood_density_dplR
11;11;791.805227272727;0.76325;1.17475;0.89175;0.1275;0.856666666666667;1.37570833333333;1.18204166666667;0.3205;407.107954545455;3.99812727272727;25.4436227272727;23.92885;2.58712250176136;2.91742431146136;0.808489161467298;-0.194264638004363;0.620170399553254;-0.521351604122102;0.544599549819703;0.568482147411818;;0.56261038493823;-0.473375325775198;0.59227420433959;-0.312704488139771
12;12;887.297854545455;0.6856;1.12208333333333;0.762083333333333;0.07875;0.816133333333333;1.36673333333333;1.1126;0.2906;420.347345454546;4.21681018181818;25.0526261818182;24.203548;2.96463751123164;3.17412378722;0.803561786327572;-0.499350858449652;0.680368464808689;-0.131935992084495;0.432188883730194;0.559062822104863;;0.722720313212578;-0.476025433426918;0.630031649024508;-0.391170144300693
13;13;708.090106951872;0.705588235294118;1.05676470588235;0.750294117647059;0.0438235294117647;0.863872549019608;1.26088235294118;1.12220588235294;0.252107843137255;416.682085561497;4.08872727272727;25.6904171122995;23.818050802139;2.62297510111765;3.09943358718984;0.667181660737269;-0.447052773166648;0.709009915049943;-0.144603972410706;0.387876941001817;0.519913081024563;;0.509728575812538;-0.535262594269524;0.718936654069544;-0.377564015330613
14;14;701.511129476584;0.694848484848485;1.2659375;0.883125;0.1884375;0.834040404040404;1.42919191919192;1.19722222222222;0.367171717171717;408.972837465565;4.00564022038567;25.051938292011;23.8241173553719;2.70900042720523;2.97158432254972;0.816487304983417;0.0818246726515949;0.712503601802204;-0.447351349978781;0.611503563169764;0.683770826873223;;0.720553194527565;-0.554965177425885;0.667360508294003;-0.367214147539044
15;15;678.70766758494;0.672727272727273;1.1647619047619;0.787619047619047;0.108571428571429;0.837727272727273;1.35734848484848;1.16272727272727;0.318106060606061;422.485353535354;4.17729935720845;25.4175674931129;23.8967433425161;2.81532706883012;3.19423509358035;0.792996380755747;-0.471711220671917;0.61529393616202;-0.362553385772578;0.5661823893349;0.685973575407069;;0.684593426888939;-0.499917938013617;0.655782613370476;-0.398720956634219
16;16;893.225485970819;0.674888888888889;1.19090909090909;0.805227272727273;0.13;0.821629629629629;1.37833333333333;1.14066666666667;0.317814814814815;409.628567901235;4.10443739618406;25.3889475645342;24.3828250056117;2.71203633467657;2.93221210219418;0.758740304704743;0.116748514488574;0.640242137194876;-0.50070126891201;0.464523485648343;0.567984140084241;;0.458485842825861;-0.352892893594395;0.526427154586169;-0.114044095655359
17;17;745.153127272727;0.7028;1.27541666666667;0.899166666666667;0.192916666666667;0.8566;1.49966666666667;1.2578;0.409266666666667;429.068654545455;4.17683636363636;24.7693890909091;23.4358927272727;3.05571495670982;3.40105644812091;0.819687567988917;-0.226250944703889;0.587541174092918;-0.197681706528794;0.482564975302272;0.648250943019458;;0.701980845292604;-0.479847408070133;0.629709898855992;-0.378090021614548
18;18;630.842987012987;0.678571428571429;1.14807692307692;0.78;0.101923076923077;0.832142857142857;1.34154761904762;1.13160714285714;0.29375;432.90448051948;4.09718246753247;23.6079766233766;22.7074782467532;3.11162217632435;3.36748764499269;0.770591146807179;-0.515011388416832;0.76520162592567;-0.137804099383892;0.508630682343627;0.612640575467156;;0.684125466798612;-0.623197011694103;0.703444918636736;-0.591731047635646
19;19;657.244666666667;0.712222222222222;1.13225;0.8115;0.099;0.853814814814815;1.38377777777778;1.20937037037037;0.346481481481481;414.297717171717;3.9306804040404;23.9146468686869;22.9603448484848;2.82884290527071;3.04742782647505;0.787503720593749;-0.406206054195961;0.591184482246053;-0.235800992338879;0.506851007734575;0.634298057810045;;0.62455260258533;-0.589591185697213;0.667968758035744;-0.422418678871338
20;20;816.038344155844;0.701428571428571;1.24884615384615;0.876538461538461;0.176538461538462;0.826964285714286;1.42767857142857;1.1810119047619;0.351369047619048;415.863522727273;4.08479334415585;24.1559103896104;23.7443604707792;2.97525246522443;3.07167872521599;0.76455771842442;-0.0715096994097541;0.71005368135714;-0.484101061820041;0.569082267573876;0.637109490653666;;0.575049239892872;-0.578900233953527;0.722742065078635;-0.438201561758701
